"","nearestBuilding","distToNearestBuilding"
"235","Dean Rusk Hall",0
"236","Dean Rusk Hall",0
"237","Dean Rusk Hall",0
"238","Dean Rusk Hall",0
"239","Dean Rusk Hall",0
"240","Dean Rusk Hall",0
"241","Dean Rusk Hall",0
"242","Dean Rusk Hall",0
"243","Dean Rusk Hall",0
"244","Dean Rusk Hall",0
"245","Dean Rusk Hall",0
"246","Dean Rusk Hall",0
"247","Dean Rusk Hall",0
"248","Dean Rusk Hall",0
"249","Dean Rusk Hall",0
"250","Dean Rusk Hall",0
"251","Dean Rusk Hall",0
"252","Dean Rusk Hall",0
"253","Dean Rusk Hall",0
"254","Dean Rusk Hall",0
"255","Dean Rusk Hall",0
"256","Dean Rusk Hall",0
"257","Dean Rusk Hall",0
"258","Dean Rusk Hall",0
"259","Dean Rusk Hall",0
"260","Dean Rusk Hall",0
"261","Dean Rusk Hall",0
"262","Dean Rusk Hall",0
"263","Dean Rusk Hall",0
"264","Dean Rusk Hall",0
"265","Dean Rusk Hall",0
"266","Dean Rusk Hall",0
"267","Dean Rusk Hall",0
"268","Dean Rusk Hall",0
"269","Dean Rusk Hall",0
"270","Dean Rusk Hall",0
"271","Dean Rusk Hall",0
"272","Dean Rusk Hall",0
"273","Dean Rusk Hall",0
"274","Dean Rusk Hall",0
"275","Dean Rusk Hall",0
"276","Dean Rusk Hall",0
"277","Dean Rusk Hall",0
"278","Dean Rusk Hall",0
"279","Dean Rusk Hall",0
"280","Dean Rusk Hall",0
"281","Dean Rusk Hall",0
"282","Dean Rusk Hall",0
"283","Dean Rusk Hall",0
"284","Dean Rusk Hall",0
"285","Dean Rusk Hall",0
"286","Dean Rusk Hall",0
"287","Dean Rusk Hall",0
"288","Dean Rusk Hall",0
"289","Dean Rusk Hall",0
"290","Dean Rusk Hall",0
"291","Dean Rusk Hall",0
"292","Dean Rusk Hall",0
"293","Dean Rusk Hall",0
"294","Dean Rusk Hall",0
"295","Dean Rusk Hall",0
"296","Dean Rusk Hall",0
"297","Dean Rusk Hall",0
"298","Dean Rusk Hall",0
"299","Dean Rusk Hall",0
"300","Dean Rusk Hall",0
"301","Dean Rusk Hall",0
"302","Dean Rusk Hall",0
"303","Dean Rusk Hall",0
"304","Dean Rusk Hall",0
"305","Dean Rusk Hall",0
"306","Dean Rusk Hall",0
"307","LeConte Hall",0
"308","LeConte Hall",0
"309","LeConte Hall",0
"310","LeConte Hall",0
"311","LeConte Hall",0
"312","LeConte Hall",0
"313","LeConte Hall",0
"314","LeConte Hall",0
"315","LeConte Hall",0
"316","LeConte Hall",0
"317","LeConte Hall",0
"318","LeConte Hall",0
"319","LeConte Hall",0
"320","LeConte Hall",0
"321","LeConte Hall",0
"322","LeConte Hall",0
"323",NA,0
"324",NA,0
"325",NA,0
"326",NA,0
"327",NA,0
"328",NA,0
"329",NA,0
"330",NA,0
